,track,artist,tempo,danceability,acousticness,energy,decade,genre
8805,Action,Sweet,0.7240362351557226,0.325,0.0474,0.852,70s,rock
8806,Vecchi tempi n.2,Arawak,0.34430853729760624,0.132,0.226,0.0703,70s,rock
8807,Good Timin',The Beach Boys,0.4640899997100525,0.568,0.485,0.431,70s,pop
8808,Thinking Of You,Loggins & Messina,0.517949822510697,0.625,0.231,0.509,70s,pop
8809,Rocky Mountain Way,Joe Walsh,0.3581680287296571,0.493,0.0241,0.376,70s,r&b
8810,Swingle Song,Keith Mansfield,0.3374367810854807,0.382,0.974,0.0928,70s,pop
8811,Rip Off,Sham 69,0.3538519527965438,0.313,0.0132,0.83,70s,rap
8812,Since I Met You Baby,Freddy Fender,0.49619961644085275,0.786,0.52,0.396,70s,pop
8813,Step Across,Gregory Isaacs,0.3941380895772151,0.881,0.244,0.401,70s,pop
8814,My Eyes Get Blurry,Kenny Nolan,0.3487115974865692,0.475,0.694,0.39,70s,r&b
8815,Vou Começar Tudo de Novo,Reginaldo Rossi,0.49607535321821034,0.684,0.0795,0.579,70s,pop
8816,Josie,Kris Kristofferson,0.4017429988029309,0.687,0.45,0.352,70s,pop
8817,Everything's Coming Up Love,David Ruffin,0.44330904677681915,0.689,0.198,0.856,70s,r&b
8818,Rain & Thunder 6,Nature's Mystic Moods,0.41242549384275734,0.224,0.00175,0.91,70s,rock
8819,Take It To The Ozone,Freddie Hubbard,0.6488362749199538,0.368,0.716,0.438,70s,r&b
8820,Someone To Light Up My Life,Antônio Carlos Jobim,0.4237582997477457,0.49,0.795,0.203,70s,pop
8821,"Desert Rock (spaceship, orbit)",Deuter,0.5095744813045981,0.303,0.986,0.0685,70s,rock
8822,This Old Man,Mike Seeger,0.3928084730949412,0.649,0.903,0.164,70s,pop
8823,Smokin' In The Boy's Room,Brownsville Station,0.5278453171404547,0.575,0.735,0.756,70s,pop
8824,I'll Hold Out My Hand,The Clique,0.42253223595100714,0.562,0.522,0.715,70s,pop
8825,So You Win Again,Hot Chocolate,0.4345029263988932,0.706,0.527,0.538,70s,r&b
8826,Layla,Derek & The Dominos,0.4791258496497848,0.404,0.577,0.903,70s,r&b
8827,Nani Hanalei,The Brothers Cazimero,0.31557473811525827,0.363,0.79,0.089,70s,r&b
8828,Superman,Donna Fargo,0.41274029400678475,0.607,0.503,0.668,70s,pop
8829,My Head Is My Only House Unless It Rains,Captain Beefheart & His Magic Band,0.46897354435989946,0.842,0.81,0.256,70s,pop
8830,Spider Jiving,Andy Fairweather Low,0.6494078857441089,0.598,0.317,0.748,70s,pop
8831,Arabia (strange fanfare leading into bazaar scene),Deuter,0.571134481801651,0.273,0.882,0.269,70s,rock
8832,Spiral,Vangelis,0.5150710578528144,0.286,0.264,0.446,70s,rock
8833,Johnny Walker,Westernhagen,0.6235694196493292,0.515,0.752,0.148,70s,pop
8834,Part Time Love,Ann Peebles,0.4127444361142062,0.777,0.0621,0.457,70s,pop
8835,Rising Sun,Kitaro,0.36431491614303524,0.137,0.398,0.312,70s,rock
8836,I'm On Fire,5000 Volts,0.5738848411294699,0.554,0.0298,0.793,70s,pop
8837,Baby Sister Blues,Johnny Shines,0.4672794224245411,0.543,0.839,0.106,70s,pop
8838,Psycho Mafia,The Fall,0.7457574464736169,0.3,0.000233,0.894,70s,rap
8839,New Ways To Live,Piero Piccioni,0.4353976216019186,0.521,0.0315,0.835,70s,pop
8840,I Ain't Got a Little Bed,Bukka White,0.719256243191411,0.617,0.905,0.122,70s,rap
8841,Amb la Boca Tancada,Ramon Muntaner,0.646636815879183,0.32,0.48,0.675,70s,rock
8842,Let Me In,The Osmonds,0.680664228346098,0.18,0.678,0.453,70s,rock
8843,Name of the Game,Brian Bennett,0.3390024976907751,0.551,0.0798,0.305,70s,r&b
8844,Love Is Like Oxygen,Sweet,0.5112023295212138,0.567,0.242,0.455,70s,pop
8845,Take Me To The River,Syl Johnson,0.47328133607816986,0.922,0.0368,0.737,70s,pop
8846,Ballade de l'humeur vagabonde,Eric Demarsan,0.40033054017222885,0.458,0.772,0.437,70s,pop
8847,CHANGING STREAMS,Compost,0.6601235176433066,0.419,0.0717,0.76,70s,r&b
8848,Can I Get A Witness,Lee Michaels,0.5760635896331335,0.654,0.212,0.82,70s,pop
8849,Being friendly,Stefano Torossi,0.4445475368958218,0.356,0.039,0.454,70s,rock
8850,Boogie Woogie Bugle Boy,Bette Midler,0.40795615993505174,0.658,0.659,0.647,70s,pop
8851,I'll Make You Music,Beverly Bremers,0.4812383244347059,0.465,0.597,0.398,70s,pop
8852,Skin Tight,Ohio Players,0.4563318325097443,0.828,0.0399,0.611,70s,r&b
8853,Try Again,Big Star,0.5528056564618947,0.463,0.629,0.231,70s,pop
8854,What'll We Do With The Baby?,Mike Seeger,0.4085319128666283,0.709,0.969,0.00757,70s,pop
8855,California My Way,The Main Ingredient,0.39218301487430773,0.634,0.485,0.785,70s,r&b
8856,Veio D'Àgua,Elba Ramalho,0.5595117283771638,0.423,0.809,0.842,70s,pop
8857,Somethin' 'bout 'cha,Latimore,0.44538424259494747,0.543,0.827,0.725,70s,r&b
8858,Achilipu,Las Grecas,0.4309034350496846,0.599,0.423,0.771,70s,pop
8859,Mi Inspiración - Instrumental,Paco de Lucía,0.46495570016112797,0.374,0.821,0.586,70s,pop
8860,"Evergreen (Love Theme From """"A Star Is Born"""")",Barbra Streisand,0.47312807810357754,0.335,0.932,0.303,70s,rock
8861,If I Needed You,Doc & Merle Watson,0.37945017666088154,0.601,0.884,0.386,70s,pop
8862,Very Well Dub,Wailing Souls,0.5139361204193469,0.868,0.00194,0.34,70s,r&b
8863,I.O.D.,U.K. Subs,0.4074094017554251,0.391,0.00114,0.726,70s,pop
8864,Down in Mississippi,J.B. Lenoir,0.6311370499082524,0.667,0.809,0.485,70s,pop
8865,Hotel California,Eagles,0.6094075543755152,0.579,0.00574,0.508,70s,r&b
8866,Vai Trabalhar Vagabundo - Ao Vivo,MPB4,0.3989222236489481,0.533,0.779,0.447,70s,pop
8867,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,0.5818583979156915,0.502,0.283,0.451,70s,pop
8868,Happy Anniversary,Little River Band,0.5337975255050265,0.72,0.592,0.584,70s,r&b
8869,Mit Pfefferminz bin ich dein Prinz,Westernhagen,0.592462192914511,0.73,0.634,0.62,70s,pop
8870,Love Gonna Pack Up (And Walk Out),The Persuaders,0.5521263508447828,0.647,0.525,0.443,70s,pop
8871,Concrete Parachute - Instrumental,Stefan Grossman,0.38551422192583146,0.519,0.223,0.334,70s,pop
8872,Y.M.C.A.,Village People,0.5234008358772777,0.75,0.0278,0.785,70s,r&b
8873,"Fé Cega, Faca Amolada - Ao Vivo",MPB4,0.6192284910716875,0.489,0.245,0.908,70s,latin
8874,Here Comes That Rainy Day Feeling Again,The Fortunes,0.5007600767118294,0.754,0.351,0.708,70s,pop
8875,My Baby's Baby,Liquid Gold,0.5432912357149071,0.777,0.0341,0.608,70s,r&b
8876,Ridin' My Thumb To Mexico,Johnny Rodriguez,0.37386247374939424,0.628,0.972,0.321,70s,pop
8877,No One Receiving - 2004 Digital Remaster,Brian Eno,0.4459889902784739,0.641,0.127,0.789,70s,pop
8878,La ballata di Sacco e Vanzetti - Version 1,Ennio Morricone,0.49359008876536203,0.286,0.922,0.388,70s,rock
8879,Power Of Love,Martha Reeves,0.4681824018424094,0.669,0.191,0.85,70s,pop
8880,Presbyterian Guitar,John Hartford,0.5567158058677093,0.543,0.777,0.166,70s,pop
8881,Reach Out I'll Be There,Diana Ross,0.6939189720946223,0.345,0.687,0.589,70s,rock
8882,Volcano,Jimmy Buffett,0.7330121819379264,0.652,0.332,0.474,70s,edm
8883,Aun Se Acuerda De Mí,Vicente Fernández,0.47799505432373884,0.433,0.716,0.302,70s,pop
8884,Tired Of Being Alone,Al Green,0.40577741143138807,0.772,0.339,0.397,70s,pop
8885,Satyagraha: Tolstoy Farm,Philip Glass,0.44943936576051163,0.22,0.979,0.189,70s,rock
8886,Desdemona,The Searchers,0.46769363316668255,0.425,0.000401,0.848,70s,pop
8887,Joy in the Morning,The Gaylads,0.33636811737075584,0.675,0.428,0.472,70s,pop
8888,What Do I Get? - 1996 Remastered Version,Buzzcocks,0.7311192388463402,0.249,0.00176,0.922,70s,rock
8889,The Floppy Boot Stomp,Captain Beefheart & His Magic Band,0.457499906802583,0.535,0.373,0.697,70s,pop
8890,Be My Girl,The Dramatics,0.3106124934244045,0.57,0.556,0.31,70s,r&b
8891,Are You Leaving for the Country,Karen Dalton,0.5608496290742804,0.515,0.85,0.238,70s,pop
8892,Beautiful Kauai,Don Ho,0.48556268458266194,0.532,0.908,0.231,70s,pop
8893,Ipo Lei Manu,Gabby Pahinui,0.3376645969936584,0.518,0.489,0.39,70s,r&b
8894,Fourty Four Blues,Sonny Boy Nelson,0.3330917104004175,0.592,0.925,0.233,70s,r&b
8895,Saturday Nite,"Earth, Wind & Fire",0.43994565555063103,0.663,0.117,0.729,70s,r&b
8896,Bell Bottom Blues,Derek & The Dominos,0.5514594715499351,0.404,0.587,0.695,70s,r&b
8897,"Congregavit nos in unum - Ubi caritas et amor + Psalm 133 (132), Verse 1 (Antiphon)",Traditional,0.4399870766248452,0.272,0.983,0.0267,70s,rock
8898,Brujo,National Health,0.337950402405736,0.301,0.817,0.448,70s,rock
8899,Way Back Home,The Jazz Crusaders,0.732718092311006,0.554,0.0961,0.704,70s,edm
8900,Up on the Hill Where They Do the Boogie,John Hartford,0.4326472622740998,0.772,0.855,0.461,70s,pop
8901,Let's Be Young Tonight,Jermaine Jackson,0.5225268512113593,0.511,0.134,0.725,70s,r&b
8902,Ooh Baby Baby,Linda Ronstadt,0.6894372118646525,0.46,0.771,0.264,70s,pop
8903,Vanilla Ólay,Jackie DeShannon,0.5436391727383059,0.749,0.651,0.571,70s,pop
8904,Love Me,The Rascals,0.5641798834410972,0.455,0.224,0.671,70s,pop
8905,Jorge Da Capadócia,Jorge Ben Jor,0.45624899036131605,0.463,0.532,0.82,70s,pop
8906,Questions and Conclusions,Black Heat,0.528698591269266,0.623,0.0613,0.729,70s,r&b
8907,Stranger In The Room,Michael Chapman,0.34413456878590687,0.281,0.0454,0.691,70s,rock
8908,Statesboro Blues/Church Bell Blues,David Bromberg,0.3297490297113365,0.534,0.664,0.244,70s,r&b
8909,A Cuba,Victor Jara,0.5041234679380174,0.672,0.417,0.53,70s,r&b
8910,A Collective Improvisation,Lol Coxhill,0.6395662385108296,0.371,0.73,0.738,70s,rap
8911,You Got That Right,Lynyrd Skynyrd,0.6056092418700787,0.537,0.0244,0.702,70s,pop
8912,Soiree,Bill Evans,0.4328377992154849,0.395,0.971,0.106,70s,pop
8913,Just Got To Know,Billy Boy Arnold,0.5864892740128324,0.613,0.525,0.706,70s,pop
8914,The Mosquito,The Doors,0.611838971431885,0.401,0.00254,0.707,70s,r&b
8915,I Wanna Get Next To You,Rose Royce,0.5420527455959043,0.62,0.835,0.179,70s,pop
8916,Akhnaten: Akhnaten and Nefertiti,Philip Glass,0.4881639280433099,0.211,0.988,0.133,70s,rock
8917,Take It Back,The J. Geils Band,0.46835637035410876,0.894,0.0889,0.79,70s,pop
8918,Sunset Strip,Ray Stevens,0.6938609825907226,0.21,0.614,0.386,70s,rock
8919,"Another Time, Another Place",Engelbert Humperdinck,0.6513215393728021,0.408,0.155,0.817,70s,rap
8920,Curb Job,The Dickies,0.4118041777295452,0.382,0.000544,0.924,70s,latin
8921,Maggie,Redbone,0.5257121318184266,0.56,0.0613,0.933,70s,r&b
8922,Allan wie a Stan,Wolfgang Ambros,0.39096937739983345,0.46,0.19,0.58,70s,r&b
8923,Idiot Box - Music For Pleasure,The Damned,0.6909325126437829,0.304,0.0746,0.761,70s,rock
8924,The Rockford Files,Mike Post,0.46358880471206143,0.489,0.0671,0.562,70s,pop
8925,Nachtlager N. Granada - The Lower Castle Yard,Traditional,0.613437824896551,0.53,0.942,0.592,70s,pop
8926,"Hey Hey, My My (Into The Black)",Neil Young & Crazy Horse,0.5063146427639454,0.514,0.288,0.88,70s,r&b
8927,Must Be Love,The James Gang,0.48650294296732294,0.573,0.0388,0.524,70s,pop
8928,We Are Family,Sister Sledge,0.49182555100383973,0.784,0.3,0.893,70s,latin
8929,Vengeance,Carly Simon,0.3946848477568417,0.589,0.225,0.807,70s,r&b
8930,Your Own Special Way,Genesis,0.5407811186175302,0.319,0.686,0.196,70s,rock
8931,It Makes Me Giggle,John Denver,0.3883639918317642,0.549,0.491,0.358,70s,pop
8932,Nutbush City Limits,Bob Seger,0.6838246563086368,0.46,0.326,0.847,70s,pop
8933,Dead Faces,Pholhas,0.5375875537956202,0.515,0.00557,0.646,70s,pop
8934,"The Ballad of Sweeney Todd: """"Sweeney Pondered and Sweeney Planned""""",Stephen Sondheim,0.5486014174291596,0.546,0.972,0.62,70s,pop
8935,Do Ya,Electric Light Orchestra,0.5138077150892831,0.494,0.0394,0.571,70s,pop
8936,Ven Rumbero,Bobby Valentin,0.3867154330780414,0.582,0.701,0.714,70s,pop
8937,What a Day - Remastered,Throbbing Gristle,0.3471168861293249,0.64,0.0506,0.324,70s,r&b
8938,Love Song,Tommy James,0.4142811579675507,0.456,0.232,0.602,70s,pop
8939,A Mother For My Children,The Whispers,0.8182111894889882,0.421,0.11,0.72,70s,edm
8940,Sweet Bossa,De Wolfe Music,0.3145557796895905,0.526,0.899,0.402,70s,pop
8941,I Say A Little Prayer/By The Time I Get To Phoenix,Glen Campbell/Anne Murray,0.7169697998947904,0.218,0.829,0.331,70s,rock
8942,Fancy Lady,Billy Preston,0.4704315661722371,0.648,0.451,0.72,70s,r&b
8943,Down,John Hartford,0.5909917447799091,0.513,0.234,0.768,70s,pop
8944,Pongiste De Tous Les Pays....,Komintern,0.49449721029065163,0.459,0.88,0.508,70s,pop
8945,Slow Motion,David Lindup,0.3873533176209392,0.483,0.515,0.476,70s,pop
8946,(Call Me Your) Anything Man,Bobby Moore,0.37922650286012516,0.624,0.0474,0.604,70s,r&b
8947,Tonight's The Night (Gonna Be Alright),Rod Stewart,0.5655716315346923,0.55,0.336,0.514,70s,pop
8948,Train Of Thought,Cher,0.4619609564954458,0.443,0.0848,0.495,70s,pop
8949,One For The Money (part 1),The Whispers,0.44299424661279163,0.627,0.209,0.741,70s,pop
8950,I Like Your Lovin' (Do You Like Mine),The Chi-lites,0.4367686591584066,0.593,0.127,0.64,70s,pop
8951,Quiet Times - Instrumental,Ron Carter,0.6012683132924369,0.417,0.729,0.236,70s,r&b
8952,"Easy Come, Easy Go",Bobby Sherman,0.5915882082485927,0.539,0.853,0.386,70s,pop
8953,Pieces Of April,Three Dog Night,0.37006830335137914,0.558,0.688,0.211,70s,r&b
8954,There Won't Be Anymore,Charlie Rich,0.4280536651437518,0.547,0.932,0.28,70s,pop
8955,Sweet Love,Commodores,0.8379524734594467,0.373,0.268,0.511,70s,edm
8956,Slide,Slave,0.4804596082394801,0.62,0.013,0.898,70s,r&b
8957,Slow Dance (Transductory Music),Carla Bley,0.49644400077871614,0.256,0.979,0.00544,70s,rock
8958,Slow Heat,Les Baxter,0.42182393558194536,0.535,0.77,0.403,70s,pop
8959,Spoken Introduction - Live At The Montreux Jazz Festival / 1973,Sam Rivers,0.35089448809765433,0.603,0.811,0.531,70s,rap
8960,Gonna Be My Baby,Sunnyland Slim,0.3196629981401938,0.562,0.993,0.305,70s,pop
8961,I Believe In Music,Gallery,0.371807988468373,0.589,0.343,0.413,70s,pop
8962,Willkommen,Joel Grey,0.7182290005509002,0.505,0.818,0.464,70s,rap
8963,"Oh Me, Oh My (Dreams In My Arms)",Al Green,0.39519846907709705,0.714,0.309,0.541,70s,pop
8964,"Honey, Honey",ABBA,0.582173198079719,0.473,0.324,0.804,70s,pop
8965,My Life,Billy Joel,0.5430178566250937,0.741,0.108,0.647,70s,r&b
8966,Capture The Moment,Jay & The Americans,0.5070353694552714,0.4,0.519,0.515,70s,pop
8967,She's Always A Woman,Billy Joel,0.48567452148304013,0.482,0.949,0.0991,70s,pop
8968,Land Of The Midnight Sun,Al Di Meola,0.4943439523160594,0.415,0.546,0.57,70s,r&b
8969,We Can Make It Baby,The Originals,0.32245063643480526,0.458,0.765,0.438,70s,pop
8970,Blue Angel,R. Stevie Moore,0.46435509458502294,0.586,0.0281,0.318,70s,pop
8971,Georgia on my mind,Dexter Gordon,0.50826143325201,0.563,0.924,0.066,70s,r&b
8972,"Luckenbach, Texas (Back To The Basics Of Love)",Waylon Jennings,0.4261400115150586,0.687,0.714,0.469,70s,pop
8973,Rock The Boat,The Hues Corporation,0.4440421997904094,0.597,0.257,0.581,70s,pop
8974,Whips and Furs,The Vibrators,0.6991960169495035,0.417,0.00543,0.833,70s,pop
8975,It's Only Love,Elvis Presley,0.3608728248758403,0.551,0.546,0.446,70s,pop
8976,Dawning Of The Day,Starcastle,0.5204185185338597,0.498,0.00338,0.727,70s,pop
8977,The Gardens of Babylon,Jean-Luc Ponty,0.6124064401486188,0.465,0.0829,0.51,70s,r&b
8978,"Reach Out, I'll Be There",Gloria Gaynor,0.5046660840102227,0.645,0.00384,0.597,70s,r&b
8979,Jack And Jill,Raydio,0.4400864872029591,0.693,0.395,0.659,70s,r&b
8980,Einstein on the Beach: Knee Play 5,Philip Glass,0.460121860800338,0.613,0.0586,0.0585,70s,r&b
8981,"Que Si, Que No... Lo Mismo Me Da",Facundo Cabral,0.31868131868131866,0.737,0.931,0.173,70s,r&b
8982,Fairytale,The Pointer Sisters,0.5345513890557237,0.442,0.732,0.543,70s,r&b
8983,Where Evil Grows,The Poppy Family,0.4467759906885425,0.555,0.337,0.656,70s,pop
8984,It's Going To Take Some Time,Carpenters,0.48662720618996536,0.591,0.947,0.148,70s,pop
8985,Do The Funky Chicken,Rufus Thomas,0.47567133206032564,0.796,0.0208,0.402,70s,pop
8986,Tracks Of My Tears,Linda Ronstadt,0.38519113754696116,0.639,0.123,0.564,70s,pop
8987,Concierto De Aranjuez,Jim Hall,0.5423592615450888,0.516,0.937,0.201,70s,r&b
8988,Doctor Love,First Choice,0.4902805449356523,0.552,0.00477,0.661,70s,r&b
8989,Got To Be There,Michael Jackson,0.7097666750889519,0.349,0.11,0.569,70s,rock
8990,12-Jul-39,Charlie Rich,0.49206165112686034,0.674,0.594,0.244,70s,r&b
8991,Screaming Night Hog,Steppenwolf,0.534994594549815,0.58,0.0864,0.559,70s,pop
8992,Sea Cruise,Johnny Rivers,0.6173065532281514,0.53,0.734,0.877,70s,rap
8993,Vahine Motu,Hui Ohana,0.6846240830409696,0.511,0.949,0.831,70s,pop
8994,The Hungry Years,Wayne Newton,0.568131453921126,0.431,0.713,0.443,70s,pop
8995,Minstrel In The Gallery,Jethro Tull,0.3973647912584965,0.368,0.0519,0.507,70s,r&b
8996,I'm a Conservative,Iggy Pop,0.5701362339130903,0.319,0.000433,0.769,70s,rock
8997,Lovely Luna,Kayak,0.4940208679371891,0.207,0.697,0.137,70s,rock
8998,My Own Way To Rock,Burton Cummings,0.7329086292523911,0.402,0.0165,0.911,70s,edm
8999,Busca Sem Fim,Carlos Alexandre,0.5680900328469118,0.648,0.21,0.56,70s,pop
9000,We Are All Uprooted,Vangelis,0.31765407604080803,0.62,0.367,0.389,70s,r&b
9001,Laundromat Blues,Carey Bell,0.3315384201173873,0.472,0.409,0.309,70s,r&b
9002,To the Unknown Man,Vangelis,0.3415291832178376,0.305,0.752,0.234,70s,rock
9003,You Are What I Am,J.D. Crowe & The New South,0.5212386558032996,0.637,0.612,0.64,70s,pop
9004,Red Wing - Live,Lester Flatt,0.5129585830678933,0.608,0.459,0.639,70s,pop
9005,Yo-Yo,The Osmonds,0.5718469242781342,0.617,0.636,0.785,70s,pop
9006,First Chakra Keynote C (Red) - (Bonus Version) (Remastered),Steven Halpern,0.2817999942010496,0.212,0.993,0.00393,70s,rock
9007,Fun Time,Joe Cocker,0.4367852275880923,0.721,0.115,0.52,70s,pop
9008,The Morning After,Maureen McGovern,0.3320976046192782,0.408,0.475,0.511,70s,pop
9009,King Jesus,Larry Sparks,0.683596840400459,0.553,0.748,0.435,70s,pop
9010,Your Love Is Like A Cancer,Son Seals,0.6121454873810698,0.699,0.21,0.652,70s,r&b
9011,The Key,Deuter,0.5185048649051665,0.286,0.182,0.52,70s,rock
9012,The Jam,Graham Central Station,0.4464032010206153,0.701,0.125,0.83,70s,r&b
9013,Tres Veces Lo Negara (Bulerías por Soleá),Chiquetete,0.557072027105951,0.494,0.746,0.409,70s,r&b
9014,Keep Playin' That Rock 'N' Roll,Edgar Winter's White Trash,0.5369745218972509,0.678,0.0932,0.854,70s,latin
9015,Midnight At The Oasis,Maria Muldaur,0.4087680129896489,0.705,0.409,0.499,70s,pop
9016,Satin Doll,Gene Ammons,0.5135591886439983,0.671,0.648,0.255,70s,r&b
9017,My Favorite Things - Live In Stockholm / 1963,John Coltrane,0.26716592868119443,0.282,0.879,0.576,70s,rock
9018,Deck Of Cards,Prince Far I,0.6140757094394487,0.607,0.00487,0.651,70s,pop
9019,Our House,"Crosby, Stills, Nash & Young",0.5810506869685158,0.593,0.896,0.205,70s,pop
9020,Good Time Sally,Rare Earth,0.5350981472353504,0.708,0.398,0.805,70s,pop
9021,Só Tinha De Ser Com Você,Elis Regina,0.49760793296413347,0.793,0.687,0.372,70s,pop
9022,Sweet Emotion,Aerosmith,0.41187873566313066,0.38,0.00298,0.76,70s,r&b
9023,"Honey Please, Can't Ya See",Barry White,0.47584944267944645,0.711,0.135,0.737,70s,pop
9024,Si La Ves,Willie Colón,0.3909486668627264,0.596,0.336,0.714,70s,pop
9025,Natural High,Bloodstone,0.717715379230645,0.332,0.729,0.371,70s,rock
9026,How Do You Feel The Morning After,Millie Jackson,0.6028340298977314,0.39,0.631,0.475,70s,pop
9027,Fight The Power Part 1,The Isley Brothers,0.518931501969572,0.863,0.0543,0.74,70s,rap
9028,Easy To Be Hard,Cheryl Barnes/Hair Soundtrack,0.32932653475435236,0.361,0.568,0.524,70s,pop
9029,"Man Smart, Woman Smarter",Robert Palmer,0.32398735828814984,0.649,0.098,0.585,70s,pop
9030,I'll Be Your Shelter (In Time Of Storm),Luther Ingram,0.4017098619435596,0.726,0.0773,0.625,70s,pop
9031,Talk It Over In The Morning,Anne Murray,0.33826520256976345,0.604,0.491,0.55,70s,pop
9032,Ojo,Leo Kottke,0.41278585718842037,0.432,0.49,0.356,70s,pop
9033,"Baby, Please Don't Go - Live",Muddy Waters,0.6019973241986059,0.494,0.752,0.908,70s,r&b
9034,California Kid And Reemo,Lobo,0.4969244852396002,0.722,0.0886,0.592,70s,pop
9035,Who Are You,B.B. King,0.43047265587785755,0.84,0.327,0.431,70s,pop
9036,Best Thing That Ever Happened To Me,The Persuaders,0.3065987913330544,0.392,0.786,0.424,70s,r&b
9037,Homenaje A Federico - Bulerías,Camaron De La Isla,0.5120680299722893,0.469,0.73,0.824,70s,r&b
9038,The Last Time I Saw Her,Glen Campbell,0.4811886191456489,0.485,0.357,0.378,70s,r&b
9039,Magnet And Steel,Walter Egan,0.46820725448693784,0.719,0.349,0.395,70s,pop
9040,Somewhere In The Night,Barry Manilow,0.3350260745662178,0.319,0.31,0.407,70s,rock
9041,Girl,kalapana,0.606864300418767,0.609,0.0674,0.859,70s,latin
9042,Movin' Out (Anthony's Song),Billy Joel,0.5546198995124739,0.664,0.465,0.88,70s,latin
9043,Ballada dla Alicji,Big Band Katowice,0.25935391408440783,0.198,0.853,0.247,70s,rock
9044,Agora Ninguém Chora Mais,Erasmo Carlos,0.45455901053337916,0.441,0.00614,0.944,70s,latin
9045,Save Your Kisses For Me,Brotherhood Of Man,0.7654987304440753,0.544,0.303,0.556,70s,edm
9046,Avant-guerre,François de Roubaix,0.4743789945448445,0.712,0.723,0.344,70s,r&b
9047,In The Ghetto,Candi Staton,0.35320578403880326,0.551,0.822,0.292,70s,pop
9048,Mother Whale Eyeless - 2004 Digital Remaster,Brian Eno,0.48681360102392895,0.527,0.117,0.556,70s,r&b
9049,I'll Get Over You,Crystal Gayle,0.4549815054903634,0.563,0.682,0.436,70s,pop
9050,Crawl Space,Art Farmer,0.730895565045584,0.561,0.848,0.593,70s,edm
9051,Cançó D'Amor,Jaume Arnella,0.4290974762139481,0.355,0.662,0.37,70s,rock
9052,Evening Star,Robert Fripp,0.4031968785078472,0.369,0.896,0.126,70s,r&b
9053,The Sun-Song,Eloy,0.4672918487468054,0.207,0.0909,0.496,70s,rock
9054,Dreamin,Loleatta Holloway,0.4880065279612962,0.619,0.125,0.903,70s,r&b
9055,Took The Last Train,David Gates,0.39963466612543125,0.743,0.101,0.443,70s,r&b
9056,Walk Right Up To The Sun,The Delfonics,0.5958794315371775,0.425,0.642,0.452,70s,pop
9057,Almost Like Being In Love,Michael Johnson,0.3901699506675006,0.689,0.473,0.324,70s,pop
9058,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,0.45046660840102226,0.688,0.316,0.506,70s,pop
9059,Adoro,Chavela Vargas,0.5488499438744444,0.579,0.945,0.128,70s,pop
9060,Black & White,Three Dog Night,0.45180865120556035,0.688,0.493,0.577,70s,pop
9061,Rapsodie (for orchestra with saxophone solo) - 1998 Remastered Version,Claude Debussy,0.38746101241389597,0.148,0.967,0.136,70s,rock
9062,What Are You Doing The Rest Of Your Life?,Bill Evans,0.2526437000617174,0.455,0.994,0.038,70s,r&b
9063,Il Mio Nome è Nessuno / My Name is Nobody - Main Title,Ennio Morricone,0.4629923412433778,0.591,0.0137,0.636,70s,pop
9064,Se Segura Malandro,Jorge Ben Jor,0.6533304614721879,0.535,0.723,0.847,70s,pop
9065,When the Morning Comes - Remastered,kalapana,0.6861400943572071,0.425,0.365,0.721,70s,pop
9066,Alto Saxophone Sonata in E-Flat Major: I. Ruhig bewegt,Paul Hindemith,0.2867208178176893,0.17,0.995,0.00209,70s,rock
9067,I Don't Mind,Buzzcocks,0.6907419757023978,0.266,0.0534,0.884,70s,rock
9068,Sweet Mama Hurry Home or I'll Be Gone,Leon Redbone,0.5446664153788164,0.55,0.943,0.0855,70s,pop
9069,Got To Get You Into My Life,"Blood, Sweat & Tears",0.5591058018498651,0.392,0.437,0.697,70s,pop
9070,If We Try,Don McLean,0.4547081264005501,0.559,0.872,0.323,70s,pop
9071,Lagoon Night,Iasos,0.36216516239132146,0.127,0.953,0.217,70s,rap
9072,I've Been Born Again,Johnnie Taylor,0.5243907995509955,0.738,0.357,0.585,70s,pop
9073,Music Bed (3),Brian Bennett,0.6450586729516243,0.62,0.384,0.305,70s,pop
9074,Take A Hand,Rick Springfield,0.4476665437841465,0.417,0.347,0.536,70s,pop
9075,If Only I Had My Mind On Something Else,Bee Gees,0.591211276473244,0.333,0.22,0.372,70s,rock
9076,This Heart,Gene Redding,0.4358988165999097,0.618,0.445,0.692,70s,pop
9077,Love Hurts,Nazareth,0.33039934057649856,0.485,0.00596,0.328,70s,pop
9078,Thank God And Greyhound,Roy Clark,0.3654208588245528,0.464,0.563,0.359,70s,pop
9079,Cotidiano,Chico Buarque,0.372189062351143,0.477,0.38,0.835,70s,pop
9080,We Said Goodbye,Dave Maclean,0.2959452910451779,0.381,0.0366,0.469,70s,pop
9081,"Call My Name, I'll Be There",Wilson Pickett,0.4479730597333311,0.611,0.0489,0.63,70s,pop
9082,Reach Out And Touch (Somebody's Hand),Diana Ross,0.5565956847524883,0.525,0.578,0.673,70s,pop
9083,What's The Name Of This Funk (spider Man),Ramsey Lewis,0.47510800545101334,0.55,0.0792,0.902,70s,latin
9084,Cançó del Prim,Josep Maria Espinàs,0.44317649933933384,0.716,0.803,0.464,70s,pop
9085,Every 1's A Winner,Hot Chocolate,0.4466268748213716,0.727,0.0628,0.548,70s,r&b
